state	inc2000	inc2004	inc2007	rep1996	rep2000	rep2004	rep2008	vote1996	vote2000	vote2004	vote2008	hsp2000	hsp2004	hsp2007	pop1996	pop2000	pop2004	pop2007
AL	40254	38111	40232	0.537	0.576	0.629	0.609	1534349	1672551	1883449	2099819	0.008665757	0.005194396	0.008563185	3189908	3274959	3260052	3396400
AK	63701	54627	60124	0.604	0.679	0.632	0.611	241620	285560	312598	326197	0.030610819	0.033191123	0.043257347	410537	422171	430115	472937
AZ	46412	42590	47750	0.488	0.533	0.553	0.543	1404405	1534113	2012585	2303838	0.150813698	0.163861504	0.169889652	3126490	3391920	3600504	3976593
AR	39959	33948	39279	0.406	0.528	0.549	0.602	884262	921781	1054945	1086617	0.013557548	0.018594747	0.01721862	1872144	1956401	1944205	2040814
CA	56128	49894	55864	0.428	0.438	0.45	0.377	10019484	10965856	12419857	13577265	0.193492151	0.220199754	0.226928136	18890220	20011897	20684460	21780230
CO	55856	51022	57333	0.508	0.545	0.524	0.455	1510704	1741365	2130330	2401361	0.114491697	0.123293985	0.1243538	2786029	2991230	3074343	3306059
CT	65173	55970	62893	0.396	0.407	0.447	0.387	1392614	1459525	1578769	1646793	0.067120625	0.077325125	0.08083811	2381239	2404626	2361755	2465978
DE	57426	50152	54310	0.414	0.433	0.462	0.374	270845	327622	375190	412616	0.025777837	0.031022124	0.031580142	542595	566378	582004	616875
DC	49276	43573	54812	0.099	0.095	0.095	0.066	185726	201894	227586	265853	0.0326369	0.046437313	0.037207948	408215	409659	367700	425823
FL	45818	40171	46142	0.468	0.5	0.525	0.486	5303794	5963110	7609810	8410320	0.112679842	0.130158681	0.135271617	10410858	11090351	11558430	12359799
GA	49721	43217	49387	0.506	0.56	0.584	0.526	2299071	2596804	3301875	3932158	0.020079128	0.020274852	0.02345373	5309722	5677388	5796787	6354000
HI	62112	53123	63164	0.357	0.402	0.456	0.27	360120	367951	429013	453568	0.058144952	0.062994038	0.065847712	824066	841466	848366	908475
ID	45234	42519	47876	0.608	0.708	0.693	0.63	491719	501621	598447	657430	0.038978673	0.040416809	0.048982036	829161	891154	940574	1016883
IL	55034	45787	51320	0.404	0.438	0.448	0.373	4311391	4742123	5274322	5525480	0.064217101	0.078903126	0.079871646	8254514	8374872	8314246	8689404
